Team,Winner,win_flag
Capitals,KKR,0
RCB,KKR,0
Capitals,Super Kings,0
Capitals,RCB,0
Super Kings,Punjab Kings,0
Royals,Mumbai,0
Super Kings,Capitals,0
Sunrisers,KKR,0
Super Kings,Royals,0
Mumbai,Capitals,0
KKR,Punjab Kings,0
Sunrisers,Super Kings,0
Royals,RCB,0
Punjab Kings,Mumbai,0
Capitals,KKR,0
Royals,Sunrisers,0
KKR,Super Kings,0
RCB,Super Kings,0
Mumbai,KKR,0
Sunrisers,Capitals,0
RCB,KKR,0
Punjab Kings,Capitals,0
Super Kings,Mumbai,0
KKR,Capitals,0
Royals,Mumbai,0
Sunrisers,Super Kings,0
Punjab Kings,KKR,0
KKR,Royals,0
Mumbai,Punjab Kings,0
Royals,RCB,0
Punjab Kings,Sunrisers,0
Mumbai,Capitals,0
Punjab Kings,Capitals,0
Punjab Kings,Super Kings,0
Capitals,Royals,0
Super Kings,Capitals,0
Mumbai,RCB,0
Royals,Titans,0
RCB,Royals,0
Royals,Titans,0
Sunrisers,Punjab Kings,0
Capitals,Mumbai,0
Super Kings,Royals,0
Titans,RCB,0
Super Kings,Titans,0
Super Kings,Mumbai,0
Royals,Capitals,0
Punjab Kings,Royals,0
Titans,Punjab Kings,0
Royals,KKR,0
Royals,Mumbai,0
RCB,Titans,0
KKR,Capitals,0
Sunrisers,Titans,0
RCB,Sunrisers,0
Mumbai,Super Kings,0
Punjab Kings,Capitals,0
Super Kings,Titans,0
Punjab Kings,Sunrisers,0
KKR,Sunrisers,0
Titans,Sunrisers,0
Mumbai,RCB,0
Super Kings,Sunrisers,0
Punjab Kings,Titans,0
Capitals,Super Giants,0
Mumbai,KKR,0
Royals,RCB,0
Punjab Kings,KKR,0
Super Kings,Super Giants,0
KKR,RCB,0
Super Giants,Titans,0
RCB,Punjab Kings,0
Mumbai,Capitals,0
Super Kings,KKR,0
Titans,Super Kings,0
RCB,Titans,0
Sunrisers,Mumbai,0
Punjab Kings,Royals,0
Sunrisers,RCB,0
Super Kings,KKR,0
Sunrisers,Super Giants,0
KKR,Royals,0
RCB,Mumbai,0
Punjab Kings,KKR,0
Royals,Sunrisers,0
RCB,Capitals,0
Mumbai,Super Kings,0
Royals,Titans,0
Punjab Kings,Mumbai,0
Royals,Mumbai,0
Super Kings,Punjab Kings,0
KKR,Titans,0
Sunrisers,Super Kings,0
KKR,Capitals,0
Titans,Royals,0
KKR,Mumbai,0
Super Giants,Punjab Kings,0
Punjab Kings,Titans,0
Capitals,Mumbai,0
Punjab Kings,Sunrisers,0
Titans,KKR,0
Mumbai,Super Kings,0
Sunrisers,Super Giants,0
Capitals,Titans,0
Mumbai,RCB,0
Super Kings,Titans,0
RCB,Super Giants,0
KKR,Super Kings,0
Sunrisers,Mumbai,0
Royals,KKR,0
RCB,Sunrisers,0
Punjab Kings,RCB,0
Mumbai,RCB,0
Sunrisers,Punjab Kings,0
Royals,Capitals,0
Punjab Kings,Royals,0
Mumbai,Super Kings,0
Sunrisers,Royals,0
RCB,Punjab Kings,0
RCB,Super Kings,0
KKR,Super Kings,0
Royals,Super Kings,0
KKR,RCB,0
Sunrisers,Mumbai,0
Sunrisers,RCB,0
KKR,Mumbai,0
Royals,Punjab Kings,0
Sunrisers,KKR,0
Super Giants,RCB,0
KKR,Super Giants,0
Mumbai,Sunrisers,0
Punjab Kings,Capitals,0
Super Giants,Royals,0
Sunrisers,KKR,0
RCB,Punjab Kings,0
Super Giants,Titans,0
Mumbai,KKR,0
Capitals,Super Kings,0
Sunrisers,RCB,0
KKR,Super Giants,0
Titans,Mumbai,0
Sunrisers,Capitals,0
Super Kings,RCB,0
Sunrisers,Super Kings,0
Capitals,Super Giants,0
